nome,cpf,idade,rua,numero_casa,bairro,sigla_estado,data_nascimento
Srta. Caroline Da Rosa,192***.***.***-98,52.0,Passarela Rocha, 96, Buraco Quente,CE,1972-05-26
Stephany Vieira,682***.***.***-22,47.0,Travessa Guilherme Carvalho, 7, Jonas Veiga,TO,1977-05-22
Enzo Barros,794***.***.***-16,68.0,Estação Fernandes, 85, Nova Floresta,MG,1957-01-13
Caroline Peixoto,036***.***.***-30,67.0,Loteamento Thales Pires, 51, Vila União,SE,1957-11-02
Maria Vitória Novaes,804***.***.***-58,40.0,Via Vieira, 26, Ouro Preto,RR,1984-08-08
Bruna Moura,240***.***.***-06,95.0,Quadra Amanda Martins, 4, Universo,RS,1930-02-13
Maitê Peixoto,501***.***.***-58,62.0,Distrito Caldeira, 95, Serra,RN,1962-04-07
Dr. Anthony Barbosa,749***.***.***-20,20.0,Distrito de Fogaça, 13, Pompéia,MG,2004-03-18
Alexandre Jesus,269***.***.***-34,69.0,Aeroporto de Fogaça, 74, Vila Santa Monica 2ª Seção,PI,1955-03-01
Marcos Vinicius Campos,421***.***.***-22,46.0,Trecho de Barbosa, 7, São José,DF,1978-11-19
João Miguel Moura,371***.***.***-05,,Praça de Costela, 38, Renascença,RR,1894-07-21
Ana Júlia Cardoso,096***.***.***-00,,Praia da Mata, 88, Vila Piratininga Venda Nova,BA,1917-10-02
Stella Rodrigues,870***.***.***-92,,Loteamento Maria Alice Costela, 63, Santa Maria,TO,1897-10-11
Rebeca Da Rosa,640***.***.***-22,12.0,Trecho da Mata, Barroca, 57152686 da Mata do Oeste / SC,SE,2013-01-01
Henrique Monteiro,378***.***.***-73,6.0,Largo Theo Silva, 91, Nossa Senhora Da Conceição,ES,2018-03-09
Ana Beatriz Teixeira,243***.***.***-17,,Viaduto Ferreira, 22, Goiania,PI,1916-03-14
Luigi Da Rosa,316***.***.***-87,6.0,Pátio de Rocha, 4, Cinquentenário,RN,2018-08-23
Melissa Dias,170***.***.***-05,10.0,Quadra Isabel Castro, 40, Biquinhas,SP,2014-02-21
Beatriz Nunes,483***.***.***-44,,Praça das Neves, 274, São Jorge 3ª Seção,RS,1894-05-24
Raquel Campos,213***.***.***-13,,Estação Ana Lívia Farias, 3, Vila Santa Rosa,SE,1899-08-19
Alícia Nascimento,578***.***.***-59,,Aeroporto Alícia Vieira, 84, Comiteco,RO,1913-03-27
Maria Julia Vieira,495***.***.***-67,,Vale Oliveira, 15, Gameleira,MT,1905-03-20
Igor Ramos,695***.***.***-77,7.0,Lago de Caldeira, 4, Beija Flor,PE,2017-06-29
Alice Cardoso,123***.***.***-09,5.0,Viaduto Araújo, 76, São Bento,BA,2019-10-14
Julia Das Neves,201***.***.***-32,,Praça Maria Sophia da Cunha, 71, Vila Batik,PE,1901-06-30
Kamilly Rezende,470***.***.***-74,,Setor de Pires, 39, Conjunto Jatoba,MG,1883-06-04
Breno Freitas,205***.***.***-41,16.0,Loteamento de Ferreira, 24, Nova Suíça,AM,2008-03-03
Ana Lívia Da Paz,347***.***.***-69,18.0,Ladeira Gomes, 10, Califórnia,DF,2006-09-01
Sr. Daniel Cavalcanti,609***.***.***-33,7.0,Núcleo de da Paz, 894, Sion,MA,2018-01-09
Sr. Pedro Cavalcanti,863***.***.***-84,2.0,Recanto de Melo, Nossa Senhora Do Rosário, 07870886 Monteiro / BA,MT,2022-12-20
Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,930***.***.***-38,39.0,Colônia da Rocha, 31, Jardim América,AL,1985-10-14
Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,146***.***.***-00,94.0,Estrada Nogueira, 21, Atila De Paiva,MS,1930-08-27
Renan Da Luz,294***.***.***-23,75.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / PR,SP,1949-07-29
Caroline Costa,401***.***.***-88,22.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / RS,PE,2003-02-20
Giovanna Farias,241***.***.***-35,41.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / RJ,RS,1983-08-14
Maitê Araújo,496***.***.***-55,53.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / RS,PI,1971-07-10
Lavínia Da Mota,039***.***.***-00,22.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / ES,RR,2003-01-31
Igor Cardoso,345***.***.***-05,50.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / AM,PB,1975-01-25
Maria Julia Campos,018***.***.***-13,99.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / MG,TO,1925-08-08
Marcos Vinicius Das Neves,617***.***.***-02,86.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / RO,SP,1938-03-23
Isabel Barbosa,986***.***.***-02,27.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / MG,CE,1997-12-17
Ryan Gomes,861***.***.***-60,58.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / SP,AC,1966-05-17
Breno Duarte,463***.***.***-98,67.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / TO,RJ,1957-10-07
Eloah Peixoto,064***.***.***-16,80.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / MG,SE,1944-05-23
Luiza Sales,726***.***.***-80,56.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / GO,RS,1968-05-01
Dr. Alexandre Sales,427***.***.***-40,88.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / SP,SP,1936-06-05
Alícia Campos,162***.***.***-94,49.0,Rua não cadastrada, Bairro não cadastrado, 00000000 Cidade não cadastrada / GO,PI,1975-03-20
Luigi Porto,826***.***.***-83,44.0,Parque de Santos, 88, São João,ES,1980-08-18
